,Title,imdbID,year,Poster,Genre
10,Popeye,tt0081353,1980,http://ia.media-imdb.com/images/M/MV5BMTgzNjYyMTE4OV5BMl5BanBnXkFtZTcwODU0MDAwMQ@@._V1_SX300.jpg,"Adventure, Comedy, Family"
11,Urban Cowboy,tt0081696,1980,http://ia.media-imdb.com/images/M/MV5BMTM5OTk1NjkwMV5BMl5BanBnXkFtZTgwMzg0MjEyMDE@._V1_SX300.jpg,"Drama, Romance, Western"
12,The Shining,tt0081505,1980,http://ia.media-imdb.com/images/M/MV5BODMxMjE3NTA4Ml5BMl5BanBnXkFtZTgwNDc0NTIxMDE@._V1_SX300.jpg,"Drama, Horror"
13,Seems Like Old Times,tt0081480,1980,http://ia.media-imdb.com/images/M/MV5BMjA4NDExODQ2NF5BMl5BanBnXkFtZTcwODQzNDkyMQ@@._V1_SX300.jpg,"Comedy, Romance"
14,Cheech and Chong's Next Movie,tt0080520,1980,http://ia.media-imdb.com/images/M/MV5BMTMxOTk2MzYxOV5BMl5BanBnXkFtZTcwMDMyOTQyMQ@@._V1_SX300.jpg,"Comedy, Crime, Sci-Fi"
15,Caddyshack,tt0080487,1980,"http://ia.media-imdb.com/images/M/MV5BNzk2OTE2NjYxNF5BMl5BanBnXkFtZTYwMjYwNDQ5._V1._CR8,0,331,448_SY132_CR4,0,89,132_AL_.jpg_V1_SX300.jpg","Comedy, Sport"
16,Brubaker,tt0080474,1980,http://ia.media-imdb.com/images/M/MV5BMTIyNTYwMzQ3OV5BMl5BanBnXkFtZTYwMjUzMjk5._V1_SX300.jpg,Drama
17,Little Darlings,tt0081060,1980,http://ia.media-imdb.com/images/M/MV5BMTc3Mzg3OTE5NV5BMl5BanBnXkFtZTgwOTczMjEyMDE@._V1_SX300.jpg,"Comedy, Drama"
18,Dressed to Kill,tt0080661,1980,http://ia.media-imdb.com/images/M/MV5BMTMzNjY0MDgxMV5BMl5BanBnXkFtZTcwMDE4NzQzNA@@._V1_SX300.jpg,"Mystery, Thriller"
19,The Jazz Singer,tt0080948,1980,http://ia.media-imdb.com/images/M/MV5BMjA3OTQxOTI2OV5BMl5BanBnXkFtZTcwNjQ0MTEzMQ@@._V1_SX300.jpg,"Drama, Music, Romance"
20,Flash Gordon,tt0080745,1980,http://ia.media-imdb.com/images/M/MV5BMjE1OTU3ODAwMl5BMl5BanBnXkFtZTcwMzQ2NjczNA@@._V1_SX300.jpg,"Action, Adventure, Sci-Fi"
21,The Elephant Man,tt0080678,1980,http://ia.media-imdb.com/images/M/MV5BMTExNTk0MjIzNDZeQTJeQWpwZ15BbWU3MDY5ODI5Nzg@._V1_SX300.jpg,"Biography, Drama"
22,Bronco Billy,tt0080472,1980,http://ia.media-imdb.com/images/M/MV5BMjA1ODM0NDcxNF5BMl5BanBnXkFtZTcwMDExNjcyMQ@@._V1_SX300.jpg,"Action, Adventure, Comedy"
23,Raging Bull,tt0081398,1980,http://ia.media-imdb.com/images/M/MV5BMjIxOTg3OTc5MF5BMl5BanBnXkFtZTcwNzkwNjMwNA@@._V1_SX300.jpg,"Biography, Drama, Sport"
24,Xanadu,tt0081777,1980,http://ia.media-imdb.com/images/M/MV5BMTczMjcyOTA0N15BMl5BanBnXkFtZTgwMDE5MTEyMDE@._V1_SX300.jpg,"Fantasy, Musical, Romance"
25,American Gigolo,tt0080365,1980,http://ia.media-imdb.com/images/M/MV5BMTM2MTcyMjkxN15BMl5BanBnXkFtZTcwMTkyMzIyMQ@@._V1_SX300.jpg,"Crime, Drama, Mystery"
26,My Bodyguard,tt0081207,1980,http://ia.media-imdb.com/images/M/MV5BMjA1MzEyMzY3MF5BMl5BanBnXkFtZTcwNDY4OTQ1MQ@@._V1_SX300.jpg,"Comedy, Drama, Family"
27,The Fog,tt0080749,1980,http://ia.media-imdb.com/images/M/MV5BMTMzNTk5MjQyM15BMl5BanBnXkFtZTcwODQxOTAzMQ@@._V1_SX300.jpg,"Fantasy, Horror"
28,Altered States,tt0080360,1980,http://ia.media-imdb.com/images/M/MV5BMjAzMTA1NDU1MF5BMl5BanBnXkFtZTcwMDUzODcxMQ@@._V1_SX300.jpg,"Horror, Sci-Fi, Thriller"
29,Cruising,tt0080569,1980,http://ia.media-imdb.com/images/M/MV5BMTI1NTA2MjI2OV5BMl5BanBnXkFtZTcwODEzODA1MQ@@._V1_SX300.jpg,"Crime, Mystery, Thriller"
30,The Octagon,tt0081259,1980,http://ia.media-imdb.com/images/M/MV5BMTY5NTIwMzU4MV5BMl5BanBnXkFtZTYwNjk1Mjg5._V1_SX300.jpg,"Action, Drama, Romance"
31,Honeysuckle Rose,tt0080888,1980,http://ia.media-imdb.com/images/M/MV5BMTAxMDQzNDYyOTReQTJeQWpwZ15BbWU4MDQzMTYyMzEx._V1_SX300.jpg,"Music, Romance, Drama"
32,Herbie Goes Bananas,tt0080861,1980,http://ia.media-imdb.com/images/M/MV5BMTI2NDA5MTMwM15BMl5BanBnXkFtZTYwMDk1Mjg5._V1_SX300.jpg,"Adventure, Comedy, Family"
33,Rough Cut,tt0081439,1980,http://ia.media-imdb.com/images/M/MV5BMjE0MTAwODUyNF5BMl5BanBnXkFtZTYwODgwMTc4._V1_SX300.jpg,"Adventure, Comedy, Crime"
34,The Final Countdown,tt0080736,1980,http://ia.media-imdb.com/images/M/MV5BMTY2MTk1NTMxNF5BMl5BanBnXkFtZTcwMjcxMDUyMQ@@._V1_SX300.jpg,"Action, Sci-Fi"
35,The Hunter,tt0080907,1980,http://ia.media-imdb.com/images/M/MV5BMjA4MjI2NDc4Ml5BMl5BanBnXkFtZTcwODA1MTUyMQ@@._V1_SX300.jpg,"Action, Biography, Comedy"
36,Hero at Large,tt0080863,1980,http://ia.media-imdb.com/images/M/MV5BMTI4NjYyNzI3N15BMl5BanBnXkFtZTcwNDYyMTYyMQ@@._V1_SX300.jpg,"Comedy, Romance"
37,The Long Riders,tt0081071,1980,http://ia.media-imdb.com/images/M/MV5BMjE4NDk4MDMxN15BMl5BanBnXkFtZTcwMTkzNzA2NA@@._V1_SX300.jpg,Western
38,First Family,tt0080739,1980,http://ia.media-imdb.com/images/M/MV5BMjE0ODY1ODY4OF5BMl5BanBnXkFtZTYwODk1NTg5._V1_SX300.jpg,Comedy
39,Prom Night,tt0081383,1980,http://ia.media-imdb.com/images/M/MV5BMTI4MzY1NDA5M15BMl5BanBnXkFtZTYwMDIyNzA5._V1_SX300.jpg,"Horror, Romance"
40,The Nude Bomb,tt0081249,1980,http://ia.media-imdb.com/images/M/MV5BMjA2NTM5NTc1NF5BMl5BanBnXkFtZTcwMDY4MDcxMQ@@._V1_SX300.jpg,"Comedy, Crime, Mystery"
41,"Oh, God! Book II",tt0081268,1980,http://ia.media-imdb.com/images/M/MV5BMjAxNjcxNTAwNl5BMl5BanBnXkFtZTgwNDU4MjMyMDE@._V1_SX300.jpg,"Comedy, Fantasy"
42,The Competition,tt0080556,1980,http://ia.media-imdb.com/images/M/MV5BOTUzMDg4NDAyMl5BMl5BanBnXkFtZTgwNjU5MTEyMDE@._V1_SX300.jpg,"Drama, Romance, Music"
43,Wholly Moses!,tt0081751,1980,http://ia.media-imdb.com/images/M/MV5BMjAwNjIwNzE2Ml5BMl5BanBnXkFtZTcwNjcyODUyMQ@@._V1_SX300.jpg,"Comedy, Fantasy, History"
44,The Last Married Couple in America,tt0081032,1980,http://ia.media-imdb.com/images/M/MV5BMTMzMDIxODc0NF5BMl5BanBnXkFtZTcwNjA0MTYyMQ@@._V1_SX300.jpg,Comedy
45,Used Cars,tt0081698,1980,http://ia.media-imdb.com/images/M/MV5BMTkyNTQxOTk2Ml5BMl5BanBnXkFtZTcwODc5MjIyMQ@@._V1_SX300.jpg,Comedy
46,The Mirror Crack'd,tt0081163,1980,http://ia.media-imdb.com/images/M/MV5BMjAxODY3OTExN15BMl5BanBnXkFtZTcwMzU2MDIyMQ@@._V1_SX300.jpg,"Crime, Mystery, Thriller"
47,The Last Flight of Noah's Ark,tt0081031,1980,http://ia.media-imdb.com/images/M/MV5BMjA2NzEzNDY3MV5BMl5BanBnXkFtZTcwMDY3NTYyMQ@@._V1_SX300.jpg,"Adventure, Family"
48,The Fiendish Plot of Dr. Fu Manchu,tt0080731,1980,http://ia.media-imdb.com/images/M/MV5BMTIxMzU4NTU2MV5BMl5BanBnXkFtZTYwMzM1NTg5._V1_SX300.jpg,Comedy
49,Stardust Memories,tt0081554,1980,"http://ia.media-imdb.com/images/M/MV5BMTYxOTExMDk0N15BMl5BanBnXkFtZTYwMjAzMjI5._V1._CR1,55,260,416_SX89_AL_.jpg_V1_SX300.jpg","Comedy, Drama"
50,The Hollywood Knights,tt0080881,1980,http://ia.media-imdb.com/images/M/MV5BMjE3Njc2Njk5NF5BMl5BanBnXkFtZTcwNjMzMzAyMQ@@._V1_SX300.jpg,Comedy
51,Serial,tt0081485,1980,http://ia.media-imdb.com/images/M/MV5BMTY1NDE0MDY1OF5BMl5BanBnXkFtZTYwNjU4OTg5._V1_SX300.jpg,Comedy
52,Somewhere in Time,tt0081534,1980,http://ia.media-imdb.com/images/M/MV5BMTI3MTI4MzE3MV5BMl5BanBnXkFtZTcwOTMzNzAwMQ@@._V1_SX300.jpg,"Drama, Fantasy, Romance"
53,Tribute,tt0081656,1980,http://ia.media-imdb.com/images/M/MV5BMjE1ODcxMjY5NF5BMl5BanBnXkFtZTYwMTYwMTk5._V1_SX300.jpg,"Comedy, Drama"
54,Saturn 3,tt0079285,1980,http://ia.media-imdb.com/images/M/MV5BMTU3MTM4NTc1Nl5BMl5BanBnXkFtZTcwMzA0MjAwMQ@@._V1_SX300.jpg,"Adventure, Sci-Fi, Thriller"
55,The Formula,tt0080754,1980,http://ia.media-imdb.com/images/M/MV5BMjEzMjMxODA0OF5BMl5BanBnXkFtZTYwMDA3NTg5._V1_SX300.jpg,"Crime, Thriller"
56,The Awakening,tt0080402,1980,http://ia.media-imdb.com/images/M/MV5BMTI1ODQxNTQxMl5BMl5BanBnXkFtZTcwNTY1NzIyMQ@@._V1_SX300.jpg,Horror
57,Fatso,tt0080724,1980,http://ia.media-imdb.com/images/M/MV5BMTQ1NjA1NjI0NF5BMl5BanBnXkFtZTcwNTQxMTYyMQ@@._V1_SX300.jpg,"Comedy, Drama, Romance"
58,Foxes,tt0080756,1980,http://ia.media-imdb.com/images/M/MV5BMTM5MDg0ODg1M15BMl5BanBnXkFtZTcwOTIyMDgzNA@@._V1_SX300.jpg,Drama
59,The Big Red One,tt0080437,1980,http://ia.media-imdb.com/images/M/MV5BMTQxNzE5MTg0NF5BMl5BanBnXkFtZTgwNjI2MzgxMTE@._V1_SX300.jpg,"Drama, War"
60,The Stunt Man,tt0081568,1980,http://ia.media-imdb.com/images/M/MV5BMTM5NzQyNTI1MF5BMl5BanBnXkFtZTcwNTkzMjkyMw@@._V1_SX300.jpg,"Action, Comedy, Drama"
61,Where the Buffalo Roam,tt0081748,1980,http://ia.media-imdb.com/images/M/MV5BMTU1MDA2NzUyMV5BMl5BanBnXkFtZTcwNzU3NTcyMQ@@._V1_SX300.jpg,"Biography, Comedy"
62,The Gong Show Movie,tt0080808,1980,http://ia.media-imdb.com/images/M/MV5BMTk5NzI3MjQ2Ml5BMl5BanBnXkFtZTYwNzYwNDc4._V1_SX300.jpg,Comedy
63,Motel Hell,tt0081184,1980,http://ia.media-imdb.com/images/M/MV5BNjk4Mzg1NjUwNV5BMl5BanBnXkFtZTcwMzY5NTk1NA@@._V1_SX300.jpg,"Comedy, Horror, Thriller"
64,Little Miss Marker,tt0081063,1980,http://ia.media-imdb.com/images/M/MV5BMTQyMjQ3MzUzNF5BMl5BanBnXkFtZTYwOTY3ODk4._V1_SX300.jpg,"Comedy, Drama, Romance"
65,Oh Heavenly Dog,tt0081269,1980,http://ia.media-imdb.com/images/M/MV5BMTY4MjE4NTg1NV5BMl5BanBnXkFtZTcwMTQ1MDAzMQ@@._V1_SX300.jpg,"Comedy, Crime, Fantasy"
66,Divine Madness,tt0080634,1980,http://ia.media-imdb.com/images/M/MV5BMTM1ODMyMzIzNV5BMl5BanBnXkFtZTcwNjI5OTQyMQ@@._V1_SX300.jpg,"Documentary, Comedy, Music"
67,He Knows You're Alone,tt0080850,1980,http://ia.media-imdb.com/images/M/MV5BMTgxNDMxNzM3Nl5BMl5BanBnXkFtZTYwOTg1Mjg5._V1_SX300.jpg,"Horror, Thriller"
68,Coast to Coast,tt0080550,1980,http://ia.media-imdb.com/images/M/MV5BMTI5MjQwOTE5MV5BMl5BanBnXkFtZTYwODk4MTk5._V1_SX300.jpg,"Comedy, Drama, Romance"
69,Willie & Phil,tt0081758,1980,http://ia.media-imdb.com/images/M/MV5BMjA2NjU3MTQwNl5BMl5BanBnXkFtZTYwNjU1MTk5._V1_SX300.jpg,"Comedy, Drama, Romance"
70,Melvin and Howard,tt0081150,1980,http://ia.media-imdb.com/images/M/MV5BMTM4NzQ3NTk4NF5BMl5BanBnXkFtZTcwMDIzNDQyMQ@@._V1_SX300.jpg,"Comedy, Drama"
71,Roadie,tt0081433,1980,http://ia.media-imdb.com/images/M/MV5BMTYzMDI0Nzk4Ml5BMl5BanBnXkFtZTYwNzI1NDg5._V1_SX300.jpg,"Comedy, Musical"
72,Gloria,tt0080798,1980,http://ia.media-imdb.com/images/M/MV5BMjA2MTQyMTIzM15BMl5BanBnXkFtZTcwNDczODMyMQ@@._V1_SX300.jpg,"Crime, Drama, Thriller"
73,Kagemusha,tt0080979,1980,"http://ia.media-imdb.com/images/M/MV5BMTU4NDc5Mjk5OF5BMl5BanBnXkFtZTcwMDkyNjcyMQ@@._V1._CR13,27,286,392_SY132_CR3,0,89,132_AL_.jpg_V1_SX300.jpg","Drama, History, War"
74,Resurrection,tt0081414,1980,http://ia.media-imdb.com/images/M/MV5BMjEyNDQyNjU4Nl5BMl5BanBnXkFtZTcwMjMzMDAyMw@@._V1_SX300.jpg,"Drama, Fantasy"
75,Hide in Plain Sight,tt0080868,1980,http://ia.media-imdb.com/images/M/MV5BMTIwNDU4NjYwMl5BMl5BanBnXkFtZTYwMTk1Mjg5._V1_SX300.jpg,Drama
76,When Time Ran Out...,tt0081747,1980,http://ia.media-imdb.com/images/M/MV5BMTU3ODA2OTY2OV5BMl5BanBnXkFtZTcwMzA4MTQyMQ@@._V1_SX300.jpg,"Action, Adventure, Drama"
77,Heaven's Gate,tt0080855,1980,http://ia.media-imdb.com/images/M/MV5BMjAxNDE5MzQ5M15BMl5BanBnXkFtZTcwNTk3MTE3NA@@._V1_SX300.jpg,"Adventure, Drama, Western"
78,Midnight Madness,tt0081159,1980,http://ia.media-imdb.com/images/M/MV5BMjE1NzMxNDQ5NV5BMl5BanBnXkFtZTcwMTk1NzQyMQ@@._V1_SX300.jpg,"Family, Comedy"
79,Loving Couples,tt0081080,1980,http://ia.media-imdb.com/images/M/MV5BMTc4OTA1NTk0OF5BMl5BanBnXkFtZTcwNDgwNjkzMQ@@._V1_SX300.jpg,Comedy
80,The Idolmaker,tt0080913,1980,http://ia.media-imdb.com/images/M/MV5BMTkxMjAwMzU5OF5BMl5BanBnXkFtZTcwODgzNzA2NA@@._V1_SX300.jpg,"Biography, Drama, Music"
81,The Black Marble,tt0080442,1980,http://ia.media-imdb.com/images/M/MV5BMTc1MDM2Nzk5OF5BMl5BanBnXkFtZTYwMDg1Mjg5._V1_SX300.jpg,"Crime, Romance, Comedy"
82,Gilda Live,tt0080790,1980,http://ia.media-imdb.com/images/M/MV5BOTI1NTk3OTQxNl5BMl5BanBnXkFtZTYwNzM5NTg5._V1_SX300.jpg,"Comedy, Documentary"
83,Windows,tt0081759,1980,http://ia.media-imdb.com/images/M/MV5BMTIzMDk2OTY1Nl5BMl5BanBnXkFtZTYwNzY1MTk5._V1_SX300.jpg,"Drama, Thriller"
84,Just Tell Me What You Want,tt0080975,1980,http://ia.media-imdb.com/images/M/MV5BMTI1MjAzNjI4MV5BMl5BanBnXkFtZTYwODUwNzg5._V1_SX300.jpg,"Comedy, Romance"
85,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",tt0080461,1980,http://ia.media-imdb.com/images/M/MV5BMTIyNjc2NTMyMl5BMl5BanBnXkFtZTYwNjI1Mjk5._V1_SX300.jpg,"Animation, Comedy, Family"
86,Carny,tt0080500,1980,http://ia.media-imdb.com/images/M/MV5BMTMyNDUwNzQ2MF5BMl5BanBnXkFtZTcwNjEwOTIxMw@@._V1_SX300.jpg,Drama
87,Why Would I Lie?,tt0081753,1980,N/A,"Comedy, Drama"
88,Nijinsky,tt0081235,1980,http://ia.media-imdb.com/images/M/MV5BMTc3NjQ5OTk3OF5BMl5BanBnXkFtZTYwMTI1ODg5._V1_SX300.jpg,"Biography, Drama, Music"
89,Heart Beat,tt0080854,1980,http://ia.media-imdb.com/images/M/MV5BMTY1ODQxMTY3MV5BMl5BanBnXkFtZTYwOTYzNjg5._V1_SX300.jpg,Drama
90,One-Trick Pony,tt0081280,1980,http://ia.media-imdb.com/images/M/MV5BMTQxOTM4NDI2M15BMl5BanBnXkFtZTgwMjE0MjEyMDE@._V1_SX300.jpg,Drama
91,"Those Lips, Those Eyes",tt0081625,1980,http://ia.media-imdb.com/images/M/MV5BMTU3NjU5NTY4N15BMl5BanBnXkFtZTYwNDQ4MDk5._V1_SX300.jpg,"Comedy, Romance"
92,A Small Circle of Friends,tt0081528,1980,http://ia.media-imdb.com/images/M/MV5BMjEzOTEzODU3OF5BMl5BanBnXkFtZTcwMjgyOTUyMQ@@._V1_SX300.jpg,Drama
93,Leo and Loree,tt0081044,1980,http://ia.media-imdb.com/images/M/MV5BMjEzMDIzNDUwOV5BMl5BanBnXkFtZTYwNTg4NTEz._V1_SX300.jpg,"Romance, Comedy"
94,Home Movies,tt0079302,1980,http://ia.media-imdb.com/images/M/MV5BMjEyMjU2MTA1Nl5BMl5BanBnXkFtZTcwMzQ3OTAyMQ@@._V1_SX300.jpg,Comedy
95,Phobia,tt0081334,1980,http://ia.media-imdb.com/images/M/MV5BMTc4NzQ2MzA3N15BMl5BanBnXkFtZTYwNDc5ODg5._V1_SX300.jpg,"Drama, Horror, Thriller"
96,Breaking Glass,tt0080469,1980,http://ia.media-imdb.com/images/M/MV5BMTUzODkwMTEzMF5BMl5BanBnXkFtZTcwMjc4MTgxMQ@@._V1_SX300.jpg,"Drama, Musical"
97,Raiders of the Lost Ark,tt0082971,1981,http://ia.media-imdb.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,"Action, Adventure"
98,On Golden Pond,tt0082846,1981,http://ia.media-imdb.com/images/M/MV5BNDg3MTIzMTYxNl5BMl5BanBnXkFtZTcwMjAxNzY0MQ@@._V1_SX300.jpg,Drama
99,Arthur,tt0082031,1981,http://ia.media-imdb.com/images/M/MV5BMTI0OTI2Mjg2OF5BMl5BanBnXkFtZTYwNzk0NDI5._V1_SX300.jpg,"Comedy, Romance"
100,Stripes,tt0083131,1981,http://ia.media-imdb.com/images/M/MV5BMTQ3NzU2NjYyNF5BMl5BanBnXkFtZTgwMjg1MzQxMDE@._V1_SX300.jpg,"Action, Comedy, War"
101,The Cannonball Run,tt0082136,1981,http://ia.media-imdb.com/images/M/MV5BMTMwNzYwMDg1NV5BMl5BanBnXkFtZTcwNzY2NjUxMQ@@._V1_SX300.jpg,"Action, Comedy, Sport"
102,Chariots of Fire,tt0082158,1981,http://ia.media-imdb.com/images/M/MV5BMTk3MTE3Mzg4MV5BMl5BanBnXkFtZTcwOTY0NTM1Mg@@._V1_SX300.jpg,"Biography, Drama, Sport"
103,For Your Eyes Only,tt0082398,1981,http://ia.media-imdb.com/images/M/MV5BOTEwNzY5OTgyNl5BMl5BanBnXkFtZTcwMDAxNzczNA@@._V1_SX300.jpg,"Action, Adventure, Thriller"
104,The Four Seasons,tt0082405,1981,http://ia.media-imdb.com/images/M/MV5BMjAyNjEzNDE3M15BMl5BanBnXkFtZTcwNzcxODgyMQ@@._V1_SX300.jpg,"Comedy, Drama"
105,Time Bandits,tt0081633,1981,http://ia.media-imdb.com/images/M/MV5BMTg2MDYwMzM0NF5BMl5BanBnXkFtZTcwODI3MTQ5OQ@@._V1_SX300.jpg,"Adventure, Comedy, Fantasy"
106,Absence of Malice,tt0081974,1981,http://ia.media-imdb.com/images/M/MV5BMTQwMDg2NjI0MV5BMl5BanBnXkFtZTcwMTE0ODY0NA@@._V1_SX300.jpg,"Drama, Romance, Thriller"
107,Reds,tt0082979,1981,http://ia.media-imdb.com/images/M/MV5BNzM5NjQyNDI4OF5BMl5BanBnXkFtZTcwODEzOTYzMQ@@._V1_SX300.jpg,"Biography, Drama, History"
108,The Fox and the Hound,tt0082406,1981,http://ia.media-imdb.com/images/M/MV5BMTQ3Njc0MjU4NF5BMl5BanBnXkFtZTcwMzcxMzUzMQ@@._V1_SX300.jpg,"Animation, Adventure, Drama"
109,"Tarzan, the Ape Man",tt0083170,1981,http://ia.media-imdb.com/images/M/MV5BMTUwOTIzNDUyNV5BMl5BanBnXkFtZTYwMTkwNTc4._V1_SX300.jpg,Adventure
110,Taps,tt0083169,1981,http://ia.media-imdb.com/images/M/MV5BMTY1OTQ3ODc2MF5BMl5BanBnXkFtZTcwNTQyNjQzMQ@@._V1_SX300.jpg,Drama
111,Sharky's Machine,tt0083064,1981,http://ia.media-imdb.com/images/M/MV5BMTI2MTU1MzAwM15BMl5BanBnXkFtZTcwOTYxODkxMQ@@._V1_SX300.jpg,"Action, Crime, Drama"
112,Excalibur,tt0082348,1981,http://ia.media-imdb.com/images/M/MV5BMTQ3OTA5NjY3OV5BMl5BanBnXkFtZTcwNjAxOTI3MQ@@._V1_SX300.jpg,"Adventure, Drama, Fantasy"
113,History of the World: Part I,tt0082517,1981,http://ia.media-imdb.com/images/M/MV5BMTc1NDYxNzk0MV5BMl5BanBnXkFtZTYwODk2OTY5._V1_SX300.jpg,Comedy
114,Bustin' Loose,tt0082121,1981,http://ia.media-imdb.com/images/M/MV5BMTc1ODYyMzQ5Ml5BMl5BanBnXkFtZTcwNDg3NTcyMQ@@._V1_SX300.jpg,Comedy
115,The Great Muppet Caper,tt0082474,1981,http://ia.media-imdb.com/images/M/MV5BNDQ4MDQ5Mzg5MV5BMl5BanBnXkFtZTcwNTg2MTEzMQ@@._V1_SX300.jpg,"Comedy, Crime, Family"
116,Endless Love,tt0082329,1981,http://ia.media-imdb.com/images/M/MV5BMjIzMDEzMDIxNF5BMl5BanBnXkFtZTcwNjY2OTIzMg@@._V1_SX300.jpg,"Drama, Romance"
117,An American Werewolf in London,tt0082010,1981,http://ia.media-imdb.com/images/M/MV5BNTYzMDk3MzIyNV5BMl5BanBnXkFtZTgwOTM2OTE4MzE@._V1_SX300.jpg,"Comedy, Fantasy, Horror"
118,Fort Apache the Bronx,tt0082402,1981,http://ia.media-imdb.com/images/M/MV5BMTQ0NDA1MzA0NF5BMl5BanBnXkFtZTcwMzQ5NDQyMQ@@._V1_SX300.jpg,"Crime, Drama"
119,The French Lieutenant's Woman,tt0082416,1981,http://ia.media-imdb.com/images/M/MV5BMTIzMzU3NDE0OF5BMl5BanBnXkFtZTcwNDc2OTEyMQ@@._V1_SX300.jpg,"Drama, Romance"
120,Private Lessons,tt0082948,1981,http://ia.media-imdb.com/images/M/MV5BMTIyOTg3NDAzMl5BMl5BanBnXkFtZTcwNjU4NDQzMQ@@._V1_SX300.jpg,Comedy
121,Modern Problems,tt0082763,1981,http://ia.media-imdb.com/images/M/MV5BMTc1NzA5Njc1M15BMl5BanBnXkFtZTcwNjcwMjgyMQ@@._V1_SX300.jpg,"Comedy, Fantasy, Sci-Fi"
122,Halloween II,tt0082495,1981,"http://ia.media-imdb.com/images/M/MV5BMzc5MDQzNjkyOV5BMl5BanBnXkFtZTgwNTgxMzkwMzE@._V1._CR0,43,342,455_SY132_CR5,0,89,132_AL_.jpg_V1_SX300.jpg",Horror
123,Only When I Laugh,tt0082853,1981,http://ia.media-imdb.com/images/M/MV5BMTM1ODU5ODQ4Ml5BMl5BanBnXkFtZTcwMDQ1ODM4Mg@@._V1_SX300.jpg,"Comedy, Drama"
124,Escape from New York,tt0082340,1981,http://ia.media-imdb.com/images/M/MV5BMTUzMTY0Nzg0MV5BMl5BanBnXkFtZTgwMDU3MzQxMDE@._V1_SX300.jpg,"Action, Sci-Fi"
125,Body Heat,tt0082089,1981,http://ia.media-imdb.com/images/M/MV5BMTEwMjA1NjkzMDdeQTJeQWpwZ15BbWU3MDY0MDYxMjE@._V1_SX300.jpg,"Crime, Drama, Thriller"
126,Ghost Story,tt0082449,1981,http://ia.media-imdb.com/images/M/MV5BMjA3NTcxMDI4Nl5BMl5BanBnXkFtZTcwMTUzNDYyMQ@@._V1_SX300.jpg,"Drama, Horror, Thriller"
127,Friday the 13th Part 2,tt0082418,1981,http://ia.media-imdb.com/images/M/MV5BMzE4NDkyMjgwM15BMl5BanBnXkFtZTcwNTY4ODgyMQ@@._V1_SX300.jpg,"Horror, Mystery, Thriller"
128,The Incredible Shrinking Woman,tt0082558,1981,http://ia.media-imdb.com/images/M/MV5BMjAwODgyMDQyNV5BMl5BanBnXkFtZTcwMDIzMTgyMQ@@._V1_SX300.jpg,"Comedy, Sci-Fi"
129,Mommie Dearest,tt0082766,1981,http://ia.media-imdb.com/images/M/MV5BMTczMDI5NDEwNl5BMl5BanBnXkFtZTcwNTc4NzIzMQ@@._V1_SX300.jpg,"Biography, Drama"
